BOX_NO;EVENT_NO;EVENT_YEAR;EVENT_MONTH;EVENT_NAME;NB_DIAPOS;SUB_RANGE;SUB_DEB;SUB_FIN;SUB_NAME
1;16;1966;Juin;voyage dans les Pays Nordiques;3;70à72;70;72;notre remorque crève mais nous ne nous laissons pas abatre
1;16;1966;Juin;voyage dans les Pays Nordiques;17;73à89;73;89;Helsinki
1;16;1966;Juin;voyage dans les Pays Nordiques;26;90à115;90;115;Oslo
1;16;1966;Juin;voyage dans les Pays Nordiques;4;116à119;116;119;notre dernier ferry pour l'Alemagne puis la Belgique & la FRANCE
1;17;1966;juillet;Eté à Cherbourg;5;1à5;1;5;Guy,Berthe,France & Luc sur la plage du Rozel
1;17;1966;juillet;Eté à Cherbourg;7;6à12;6;12;les memes à Charcot
1;17;1966;juillet;Eté à Cherbourg;4;13à16;13;16;Annie & Albert
1;17;1966;juillet;Eté à Cherbourg;7;17à23;17;23;le val de Saire
1;18;1967;avril;Pâques à Charcot;4;1à4;1;4;Annie attends un héritier
1;18;1967;avril;Pâques à Charcot;19;14à32;14;32;Pâques le repas
1;18;1967;avril;Pâques à Charcot;9;5à13;5;13;Lesauvage à charcot
1;19;1967;mai;Naissance de Bertrand;31;31;31;31;
1;20;1967;août;Bertrand;18;18;18;18;
2;1;1967;Août;baptème Bertrand à Montpellier;10;1à10;1;10;bain de Bertrand
2;1;1967;Août;baptème Bertrand à Montpellier;8;11à18;11;18;le baptème
2;1;1967;Août;baptème Bertrand à Montpellier;16;19à34;19;34;le repas
2;2;1967;décembre;Noêl à Haineville;4;1à4;1;4;On se prépare
2;2;1967;décembre;Noêl à Haineville;11;5à15;5;15;le repas (le soir)
2;2;1967;décembre;Noêl à Haineville;9;16à24;16;24;le landemain
2;3;1968;décembre;Ski à Superdévoluy;8;8;8;8;
2;4;1969;decembre;Noêl à Haineville;16;16;16;16;
2;5;1975;Juin;Palavas;21;21;21;21;
2;6;1975;août;Pique-nique;22;22;22;22;
2;7;1975;août;Palavas;43;43;43;43;
2;8;1975;décembre;Noêl à Montpellier;66;66;66;66;
2;9;1975;décembre;Divers;15;15;15;15;
2;10;1976;janvier;en bourgone;7;7;7;7;
2;11;1976;février;neige aux Clomiers;6;6;6;6;
2;12;1976;mars;Armelle;8;8;8;8;
2;13;1976;mai;Porquerolle;9;9;9;9;
2;14;1976;Mai;la Ceze;19;19;19;19;
2;15;1976;juin;Arbois;13;13;13;13;
2;16;1976;juin;Fete des écoles;15;1à15;1;15;les “grands”(Bertrand) dansent le pays basque
2;16;1976;juin;Fete des écoles;5;16à20;16;20;puis c'est au tour des “petits”(Armelle)de danser
2;16;1976;juin;Fete des écoles;5;21à25;21;25;tous au gymnase
2;17;1976;Juillet;La Clusaz;11;1à11;1;11;Fleurs de montagne
2;17;1976;Juillet;La Clusaz;26;12à37;12;37;la balade se poursuit avec les Delamer
2;18;1976;Juillet;vacances;8;1à8;1;8;au camping
2;18;1976;Juillet;vacances;11;9à19;9;19;le bateau
2;18;1976;Juillet;vacances;6;20à25;20;25;apres avoir essayé d'autres occupations
2;18;1976;Juillet;vacances;9;26à34;26;34;on revient toujours au bateau
2;18;1976;Juillet;vacances;3;35à37;35;37;les soirées sont courtes
2;19;1976;juillet;Bagnols;7;7;7;7;
2;20;1976;septembre;repas henri Raynal;23;23;23;23;
3;1;1976;Juillet;Week-end avec Guy;38;38;38;38;
3;2;1976;Août;Vacances 1;38;38;38;38;
3;3;1976;Août;Vacances 2;38;38;38;38;
3;4;1976;août;col du Minier;36;36;36;36;
3;5;1976;octobre;champignons;14;14;14;14;
3;6;1976;novembre;en Bretagne à tréduder;6;6;6;6;
3;7;1976;novembre;en BretagneàLoudéac;8;8;8;8;
3;8;1976;Décembre;Noêl 76;37;37;37;37;
3;9;1976;Décembre;Divers;2;1à2;1;2;carriere Baquin:Eric,Isabelle,Berttrand & Armelle
3;9;1976;Décembre;Divers;2;3à4;3;4;Armelleau manège pour les chevaux
3;9;1976;Décembre;Divers;2;5à6;5;6;Armelle fait de la patisserie
3;9;1976;Décembre;Divers;2;7à8;7;8;Dijon,Talant de nuit
3;9;1976;Décembre;Divers;3;9à11;9;11;en revenant de l'école
3;9;1976;Décembre;Divers;2;12à13;12;13;enfants à Nevers
3;9;1976;Décembre;Divers;1;14;1;1;Les clomiers
3;10;1977;janvier;Jour de l'an à Montpellier;3;1à3;1;3;les enfants s'ocupent comme ils le souhaitent
3;10;1977;janvier;Jour de l'an à Montpellier;47;4à50;4;50;les adultes attendent patiemment l'heure du repas
3;10;1977;janvier;Jour de l'an à Montpellier;11;51à61;51;61;Nous fètons les rois avec un peu d'avance
3;11;1977;février;ski de fond à Mouthe;9;9;9;9;
3;12;1977;mars;fête des écoles à Langevin;25;25;25;25;
3;13;1977;mars;Cheneroilles;17;17;17;17;
3;14;1977;mars;scenes d'hiver;5;5;5;5;
3;15;1977;mars;Autun;8;8;8;8;
3;16;1977;juin;fête à l'école Langevin;17;17;17;17;
4;1;1977;Juin;Pendaison de la crémaillère au 50 Bd de troyes;29;29;29;29;
4;2;1977;Juin;Première comunion de Bertrand à Talant;3;1à3;1;3;France s'occupe du jardin
4;2;1977;Juin;Première comunion de Bertrand à Talant;1;4;1;1;sous la surveillaance de son mari, de mes parents
4;2;1977;Juin;Première comunion de Bertrand à Talant;2;5à6;5;6;& de son chien
4;2;1977;Juin;Première comunion de Bertrand à Talant;13;7à19;7;19;les cadeaux sont pour Armelle
4;2;1977;Juin;Première comunion de Bertrand à Talant;4;20à23;20;23;les adultes attendent
4;2;1977;Juin;Première comunion de Bertrand à Talant;3;24à26;24;26;l'heure du café au jardin
4;2;1977;Juin;Première comunion de Bertrand à Talant;14;27à40;27;40;avant la sieste
4;2;1977;Juin;Première comunion de Bertrand à Talant;10;41à50;41;50;et la partie de boules
4;2;1977;Juin;Première comunion de Bertrand à Talant;1;51;1;1;Fleurs de montagne
4;2;1977;Juin;Première comunion de Bertrand à Talant;3;52à54;52;54;anniversaire Armelle
4;3;1977;Juin;Bretagne;11;11;11;11;
4;4;1977;Juillet;Tonquédec;14;14;14;14;
4;5;1977;Juillet;Tréduder;11;11;11;11;
4;6;1977;Juillet;Cherbourg chez Lesauvage;18;18;18;18;
4;7;1977;Décembre;Noêl à Hauteville chez Paquelier;17;17;17;17;
4;8;1977;Décembre;Divers;2;2;2;2;
4;9;1978;Avril;Paques àMontpellier;12;1à12;1;12;les jeunes s'amusent
4;9;1978;Avril;Paques àMontpellier;40;13à52;13;52;lesmoins jeunes attendent le match de ping-pong
4;9;1978;Avril;Paques àMontpellier;2;53à54;53;54;le match
4;9;1978;Avril;Paques àMontpellier;36;55à90;55;90;le lendemain nous allons tous à Ganges
4;10;1978;Mai;en Autriche à Vienne;31;31;31;31;
4;10bis;1978;Mai;à Vienne (photos du comerce );31;31;31;31;
4;11;1978;Mai;anniversaire de Betrand;5;5;5;5;
4;12;1978;Juin;anniversaire d'Armelle;6;6;6;6;
4;13;1978;Juin;avions à Darois;10;10;10;10;
4;14;1978;Juin;Fête de l'école à Langevin;13;13;13;13;
4;15;1978;Juin;au jardin à Talant avec Delamer & Calvet;7;7;7;7;
4;16;1978;Juin;Chatillon pique-nique en foret avec Delamer & Calvet;25;25;25;25;
5;1;1978;Juillet;Vacances à Palavas;96;96;96;96;
5;2;1979;Juin;Anniversaire Armelle;4;4;4;4;
5;3;1979;Juin;GP de Dijon;7;7;7;7;
5;4;1979;Juillet;RallyeATT;22;22;22;22;
5;5;1979;Juillet;Cheneroilles;29;29;29;29;
5;6;1978;Août;maison à Talant;4;4;4;4;
5;7;1979;Août;Paques;16;16;16;16;
5;8;1979;Juillet;retour du Tarn;11;11;11;11;
5;9;1979;Juillet;marche dans les Cévennes;57;57;57;57;
5;10;1979;Juillet;Vacances à Palavas;26;26;26;26;
5;11;1979;Décembre;marches en Bourgogne;5;5;5;5;
5;12;1979;Octobre;Tahiti;61;61;61;61;
5;13;1979;Décembre;Noêl;14;14;14;14;
